sku,url_key,errors
JS00TAN1-0DQ,fifth-avenue-multi-hot-tropic,
JS00TAN1-0WR,fifth-avenue-multi-jungle-jam,
JS00TAN1-0MV,fifth-avenue-multi-red-galaxy,
JS00TAN1-0UG,fifth-avenue-multi-speckled-space,
JS00TAN1-0KN,fifth-avenue-multi-stckers,
JS00TAN1-0E9,fifth-avenue-multi-sunset-stripe,
JS00TAN1-0EM,fifth-avenue-multi-tropic-gold,
JS00TAN1-003,fifth-avenue-navy,
JS00TAN1-0N0,fifth-avenue-red-tape-land-ahoy,
T06V-008,first-class-13''-black,
T52M-ZY6,fox-hole-buckthorn-brown-yellow-jacket,
T52M-ZY7,fox-hole-taro-teal-moonlit-teal,
JS00TDH6-9ZG,half-pint-aqua-dash,
JS00TDH6-0JJ,half-pint-aqua-dash-jagged-plaid,
JS00TDH6-008,half-pint-black,
JS00TDH6-8WG,half-pint-coral-sparkle,
TDH6-9RX,half-pint-fluorescent-pink,
JS00TDH6-0XJ,half-pint-multi-cali-poppy,
JS00TDH6-0KL,half-pint-multi-concrete-floral,
TDH6-09Y,half-pint-multi-donuts,
JS00TDH6-0UE,half-pint-multi-flower-explosion,
JS00TDH6-0KN,half-pint-multi-stickers,
JS00TDH6-0D6,half-pint-seafoam-green,
JS00TDH6-01H,half-pint-spanish-teal,
JS00TDH6-05B,half-pint-violet-purple,
TDH6-2C8,half-pint-vivid-purple,
JS00T52S-008,hatchet-black,
JS00T52S-0BL,hatchet-black-camo-fade,
T52S-9RV,hatchet-bozeman-brown,
JS00T52S-0UY,hatchet-forge-grey/red-tape,
JS00T52S-6XJ,hatchet-grey-tar,
T52S-04Z,hatchet-midnight-sky,
JS00T52S-0WW,hatchet-multi-fishing-lures,
JS00T52S-0WF,hatchet-multi-turkish-dutch-floral,
JS00TRS7-0AW,high-stakes-multi-lightening-strike,
TRS7-7PA,high-stakes-/white/multi-feathers,
JS00TRS7-0DN,high-stakes-aqua-dash-water-lotus,
JS00TRS7-0EB,high-stakes-black-first-love,
JS00T64U-03W,high-stakes-black-laser-lace,
JS00TRS7-0DM,high-stakes-black-miss-zebra-flock,
JS00TRS7-0AR,high-stakes-black-plush-lips,
JS00TRS7-212,high-stakes-caramel-leopard,
JS00T75J-0JB,high-stakes-coral-sparkle-pretty-posey,
JS00TRS7-0J1,high-stakes-jansport-navy-splendid-vine-flock,
JS00T75J-0J8,high-stakes-jansport-navy-watercolor-chevron,
JS00T75J-0NE,high-stakes-mammoth-blue-multi-stickers,
JS00TRS7-0EN,high-stakes-multi-agate-skies,
JS00TRS7-0KA,high-stakes-multi-cosmic-waters,
JS00TRS7-0E6,high-stakes-multi-graffiti,
JS00TRS7-0GM,high-stakes-multi-grunge-usa,
JS00TRS7-ZU5,high-stakes-multi-intergalactica,
JS00TRS7-0BV,high-stakes-multi-laguna-beach,
JS00TRS7-0W3,high-stakes-multi-linear-skies,
JS00TRS7-0W1,high-stakes-multi-sun-fade-ombre,
JS00TRS7-0LV,high-stakes-multi-tropical-island,
JS00TRS7-0FU,high-stakes-multi-tulips,
JS00TRS7-0KB,high-stakes-multi-water-ombre,
JS00TRS7-0J0,high-stakes-navy-moonshine-star-spangle,
JS00T75J-0N0,high-stakes-red-tape-land-ahoy,
JS00T64U-0NY,high-stakes-shady-grey-seafoam-laser-lace,
JS00TRS7-0HY,high-stakes-white-black-houndstooth,
JS0A2SDF-0UQ,hippyland-black/gold,
JS0A2SDF-0WJ,hippyland-chambray-sweet-blossom,
JS0A2SDF-0LM,hippyland-coral-peaches-metallic-coat,
JS0A2SDF-0TR,hippyland-gold-3d-stars,
JS0A2SDF-0FD,hippyland-multi-garden-delight,
JS0A2SDF-0FF,hippyland-multi-surf-stripe,
JS0A2SDF-0U3,hippyland-navy-twiggy-dot-jacquard,
JS0A2SDF-0GG,hippyland-pewter-metallic-coat,
JS0A2SDF-0LP,hippyland-silver-sparkle-twill,
T29G-008,hoffman-black,
T29G-9RU,hoffman-desert-beige,
T29G-2C8,hoffman-vivid-purple,
T29G-ZB3,hoffman-vivid-purple-acapulcos-tripe,
JS00T13Y-008,houston-black,
JS00T13Y-0U2,houston-black-white-suited-plaid,
T13Y-9RU,houston-desert-beige,
JS00T13Y-0LR,houston-grey-pixel-pinstripe,
T13Y-9ZE,houston-grey-rabbit,
JS00T13Y-0FD,houston-multi-garden-delight,
JS00T13Y-0TV,houston-natural-speckled-canvas,
JS00T13Y-0L1,houston-neutral-peruvian-maze,
JS00T13Y-0J5,houston-red-tape-iplaid,
JS00T13Y-0ZJ,houston-silver-twiggy-dot-jacquard,
JS00T13Y-0KE,houston-turkish-ocean-hashtag-doodad,
JS0A2T3F-008,impulse-black,
JS0A2T3F-0WH,impulse-multi-grey-floral-haze,
JS0A2T3F-0WV,impulse-navy-color-geo,
JS0A2T3F-9RS,impulse-shady-grey,
JS0A2SDJ-0WJ,indio-chambray-sweet-blossom,
JS0A2SDJ-0FX,indio-frost-teal,
T45D-008,insider-black,
T45D-01V,insider-fluorescent-pink-dots,
